"Call Id","Words","Prospect"
"684575730","Services is Diana how can we make you smile hi Diana I'm looking to book a regular solder a tankless water heater not like yogurt what's yoga Wireless hello wine Norman 6 Peter just assuming students I'm so potentially will be without hot water versus he'll decide that you do for we can I'm sure no one leaves provide 0022 22 / how'd you here socially underwater season YouTube ","Service"
"1072015059","to make a smile I looked in the blower furnace the blower motor hello so cuz I'll be slower motor or whatever me some places so for men wear blower motor and they know the motor I just want to have a make and model of the floor number or anything like that of your furnace how do I take a look for you how do I for this is give you the number for the blower motor well just me I have to take her Motors it is not as long as somebody's already so I know yeah he will it is difficult motor he will unless you want to come back in for you yeah that's what so come back Joe someone for you or fairies different make and models for purchasing unit so I don't know what you know what tell them to bring call you so long one what's up with the second page okay okay thanks ","Sales"
"1072102891","speaking how can I make a smile can you tell me how are you the day you guys do estimates for plumbing issues me to have all of my shut off valves in my house replaced 246 probably 15 or 16 I hope that's quite a few so I will I would say probably not late in the day for the latest was she was schedule them to come out and then he can go for way I'll trade what you deserve peckerhead no I'm just trying to think of what day would work when does he have the last appointment of the day work scheduled for Katie shifts in and just First Street yeah I'm 1st and we just had we just live up on Portland Street so tell me where you pretty much okay the bottom like girls Thursday of this week at 2 o'clock or later Thursday available this week next week raised on early shift so or any day next week at 2 o'clock or later next week is available of okay how about she's out on for you I'm just Tuesday of next week practice better Manny and I get some information and I'll schedule them in for you I'm just making a note enough it 2 o'clock on Tuesday vote 16 shut off else it might be a few left a couple actually work or maybe we were not that I know of what is your name - c a l Brandon pran dealings 1176 Portland Street Port Portland P ohh our t ending as a mention Oregon what am I doing here I'm putting a little getaway Nancy Victor to Lima 3 easiest way to catch me is call me on my cell which is 5.9 670 6100 he'll be feeling next Tuesday with my husband Ray okay I'll put great as well yes is there a cell number for Ray or number then it just call me cuz he works in a stand down the ground you really can't get cell service your problem is the email address you would like to share with us not at the moment how you heard about it as well one see you on 2nd Street on the time but since very nice people that work for you at the show on the weekend so if we go over how we work with our guys in next 2 hours you will go over everything with you first if you're not the right price then go ahead with the repairs when he's done he they look like the crash crash Visa Mastercard then there's also a $59.02 fee okay just to do an estimate from Crossley $59 plus he can go to work like when they they are is Chris to do the work okay so he'll go with her work so are delivered from across the state yeah that's the 24th yeah just send me a quick Buzz my phone before she was she had sent that way I can make sure both of here early shift this week which means he should be home 2 o'clock he's not going to be I can scoot up from work for a few minutes Rangers schedule with you some more ","Service"
"1072107546","Maria speaking how can I make you smile I could smoke detector installed single place if you're going very nicely if we installed the old one or Google the combo smoke detector Imus I don't think it's a combo it won't this who won the Jack sweeper one just wait what is the Unit 202 girls Harvard Girl get someone out there are you going to ask you to feel with me one moment I'll take some information and I'll tell you an exact time so that was running place Unit 202 what is supposed to go there I can look it up if you don't have it handy 5 x 3 th 705 to 62084 you'll be speaking to my wife Christine what is your name blonde girl ER so no heart 62840 I'm in a hurry to get it installed because I was supposed to have it installed it told me it was hard wired but really watching so they inspect this kind of period it has for us they're giving wrong info bye so the sooner I can get it the better cuz I'm defined by the base that's all available over I'll let you know that there will be a $59 no comma everything pressure or hard wired and so he's going to do it right away so we give the approval right away dude comma clip digital work you know tomorrow morning 8 830 super kilogram you spell that CA Al YN alright this morning Supercross March ","Sales"
"684396974","service Maria speaking to make a prior send needed for them would be most so that's available for me to come from Teddy work okay bye text created so there's not one there okay so then he would he would have to give you a first and then he will go ahead and do the work needed them so she was just because you got that coupon okay so I can take some information so obviously we have not been to your place before I put Cheryl a 20 minutes with information River no longer so I guess I just looking to Anthony so I got you I got me one phone number so Glen available for tomorrow morning 4:58 and 9 or later on in the afternoon here be around to it 9 well more like 83 all for all of the day with with Marie summer courses we want Sinead snow tomorrow no he's available tickling second call of the day so Wednesday 2 at her store she has Wednesday with my son o'clock give you a 10 minute heads up so when he's on his way up it says windows but also will send him when he first yes committed Texas on his way over okay honey 2nd and get you set up there okay okay thank you bye bye ","Service"
"684369779","hey Gretchen it's Maria thinking looking to make you smile book an appointment to come out barely are you there sorry can you hear me now crappy phone so what you have some good for one whole line at my house my house is wired girls stupid because I've been out many times for some reason when I go turn on my side entry inside light it just flashes on and off and on and off and on and off the basement light won't turn on the outside light won't turn on the upper hallway light won't turn on so and they're all on one circuit so I have a problem where are you you are free phone number is still 519-453-4563 and I have your email address here see when I can get someone there and you were one of our home Productions remember that all so this let you know there will be a $59 dispatcher your system will come on site he will go over everything persky an accurate price then go ahead with the Spanish program when he's done he's able to accept cash check Visa Mastercard program and I get them in today actually know we have doctors appointments I got to take my wife to today if you have any morrow afternoon will be fine I will be home by noon so we will call for sure 854-5664 4 will give you 2 minutes on this ","Service"
"1072146961","appreciate your service Maria speaking hoping to make a smile ASAP mean exactly so let me get sequestered get someone to call me over rate referrals Cimorelli gra V our ohh d sexy I am G our a hole fish 1493 M 5 x 1 Victor Force sex 647 35620 email problems when I asked how you heard about it Google just got a check both of this number see what's wrong with Steve get my clear between 10 o'clock with that work for you give me a call so that's Scott golden you can call me if you can call me right away please give me some details and then I'll determine his fine I find plays with his pricing and all that all day some of the car for me this owner and groom a certain price I appreciate that thank you bye bye ","Sales"
"684360990","Collin County in home service this is Jamie speaking how can I make you smile this month I'm afraid this morning but they should be shortly yeah we've been bailing goodness I wish Virginia what is Virginia the best number to reach you at this morning or 9 713 I was just confirming it's 519-686-7183 so they are open in about 10 minutes or so and I can leave a message or I can reach the on call gentleman for you whatever you whatever okay call person I have to let you know there's an emergency call out fee of $149 or I can ask the office to call you during regular hours when they open ","Service"
"1072178240","Francesca calling for an in home services your call is important to us please stay on the line and we'll be right with you okay so let's morning would be ideal weight person is true Tulane Ian Peter Andy hi this is Beacon field VA C fields 2 to 6 236 +776-356-236-7563 okay it is for electrical what's the issue with regarding circus has seems like it's blowing on it so the circuit seems to be some breaker doesn't he didn't so I just had a Google search okay I'll pass along to give you a call in the morning welcome ","Service"
"1072185575","I'm sure I will think about a movie call back 211 49 that's just where the call then a ","Service"
