"Call Id","Words","Prospect"
"1058206362","hey ","Service"
"1058210862","yesterday I was having issues with my AC and then yesterday it started running better so I called and camp and I made for this afternoon for last night it was struggling again so Locust Street 37 Locust Street st. Thomas and we change that to a scratch I talked to I don't know if it was yourself or whoever yeah we were talking but I just like to goback to the what I had originally who have he looked at right now and we'll just go from there I will have have anybody so what what is it now just struggling with first like it struggles the day but yesterday was fine when I left the house it was my wife it all day long and then it just seems average 1 + 1/8 it's not shutting off the heat struggles that night like last night instead of his staying cost and it started a rise in the evening in the house so citizen 3 my time I went to bed it was in at 25 so I just raise the temperature and let it rest overnight and just ran life and this morning when we turn it back on again and it seems to be cool again cooler this morning like it's still not as cold as it used to be I think I mean so it's just it not working as well as we want so I don't know if it's going to leave her what I don't know I want to him when he's there he'll this permanent West receded and then go from there so I was looking to you probably tomorrow night unless it's too late I know it's kind of now and also so I will have that I give you a call when that best times more guys so you know when it's your cousin available okay my number 90306 ","Service"
"1058244292","if I make you smile hi I just wanted to ask a question my father needs I can wear it it pretty sure he doesn't he has a very old and I'm just curious would you be able to have have someone come over and have a look bad if you didn't both Catherine day tomorrow so you could today that right okay just called to me if he doesn't seem to be the moment I'm sure it wasn't going to be long what might be a good time could have someone bye new laws no I probably would be good he would be home then so 5 o'clock so okay I'll give you his best beth Swanson and I see his person tell me when he left Marcone they are cos address it's on dresses 2:33 so Crest Drive Neil good there yet 6 J 2 94714 for for today at 5:40 that sounds great andwonderful how are you don't miss the way now John and I met someone who it is but I know it's a family but that's it bye ","Sales"
"1058253809","Maria speaking how can I make you smile hi somebody come out look at my house probably 7/8 house I don't know for sure I knowthere was other wiring done and it was copper wire used not really sure have been through a patient or not at all sure is Stan Mona mo why and a you GH Topeka Pauline prescient to London Colleen at p l i n e was there to El 3 I'll give you my cell 519-282-3668 free crap it's an email I feel little sure it's Janice J an icy e not Molina EEG sympatico dot c a Wi-Fi I have had got some cards in the mail while back and just got finally got around to doing something about this issue the mail out she had hey is real need a credit for you know I'm home most days and just be what their schedule is like Idon't have anybody's today today I got someone available tomorrow for 2 o'clock would be love great Cox alright I will double John and Calvin school tomorrow for two little John and Kyle that's press Ranch thank you ","Service"
"703335555","hi it's Jennifer Michelson calling I'm calling from Memorial Funeral Home in London hi I just God I just wish everything Pirelli Park Road East between Clark and hungry her for a day or so I will make her feel better if we had it checked it if we can okay I have a funeral that might be me this right in the main hallway really we're here til at walk if I can get there earlier I do between 8:30 that's fine okay thanks bye okay thanks bye bye ","Service"
"1058285224","speaking to make a smile hey I was just wondering if you guys have a free coats impossible to eat their house and I was just wondering if Mr what we are is for Lee Brown it's coming from the ceiling and it's like a stain on the ceiling wall so we don't know where the other if possible there's a wash from above it okay be either a Plumbing Leak or from toilet or the shower I'm not quite sure so you're around or anywhere that you know nothing if you go on the wash movie on the ground so this first nation plumbing and then she'll come to meet the wall we were out of town for a couple days so we noticed a week but it's right now yeah I don't know whether you should be no problem I'll schedule my plumber to come out on site now there is a $9 match so comma he will go over everything first movie an accurate price then go ahead Book Pro Repair sorry there's no free estimate free tolet you know it's a problem they're coming for the work because something like that he can you know prepare what it if you and then we can I schedule them for you who's good just don't want to swing by if I don't know issues I don't want no issue is but I spend any money but I'll call back I think it's on the same I think you very much ","Service"
"703301767","service Maria speaking from a castle you are perfectly we're here phone number 960-3703 so I will schedule one of our technicians to come out the Cove everything first season accurate price repairs and then goahead with the repair they will text extra text me or MasterCard coming available probably next week now I know we have a cancelation with that someone will give you a call when ","Service"
"1058288725","the greatness of a serious how can I make mile I had been out for 54 + Pi + howdy howdy electrician to come over I guess was last week now and then we had the dates mixed on the first time and you never came by on a second we are a legally was real nice cuz he's so he's going to change it to Thursday I showed up on the case then your schedule to the next week I think it was the den meeting he just sent me an inmate yeah I've got you up on the table for July Fest got availability and I can you'll go give you a calllike to be late morning okay with you or they're going to work tonight so you leave Elite I was like hi Pam at the latest and my wife my wife's not home so I would have to like a lot but that's my life and I'm going to work so for a full like late morning yes Alfred so he would be one but we will seeyou on the 10th and I got an air conditioner from you guys last year and I'm not sure what the and this is going anywhere visit ask if you know what time what time warranties on these 1X year or is it a couple years 1 year labor on it can you call us so late as usual well I left your house yeah anyway so the who's possibly consider this thing schedules the first year you guys were going to call me something but that's first your service today a 20 Pier 1 was installed you have so when we came last said fireplace furnace yeah looks like Stacey or fireplaces you breathe who is mainly the fireplace I just got it in about 2 number has a fireplace service I had my mother pointed out to me that that was not racing I just me cuz fireplaces at Austin or you get the gas bar face yeah I would order fight fight last year because he thought the call we're going to be used if I could find someone with a house so she has asked you know bath and everything so anything She's suffering you already tight pussy for free Fitness for your air conditioning want to schedule like a I was trying to do that and then maybe I don't know if I can get this fireplace in the furnace this year maybe this year and then I'm on the same schedule for next year it's a free one I'm just curious about one thing I have no choice really quiet town obviously it's very quite urgent when it's lost it okay so I'm not sure if that's something was it was always do I'll be sleeping a lot more now that was obviously obviously a lot in the seat so if you can just here punk sometimes and you remember if I kind of work your ad on the Craigslist the service guys came in 7 nights if there's any of the services pretty good service and then you can maybe tell me first normally not also I was there a time that's 4 for your ex weather foryou for your are well I am I'm around then I can answer that I'm gone for the rest of next week then the week after that I should be so I'm going to go to go to town so he's so it'll be either 9th or 10th when this point fix available I will try morning would be later morning as well so we're going on the night free if you like my bless be home so I can work with you at all or are you aware of that alright I saw it did leave us come out we will come out and we will go over all these programs and then you know if you wanted to sign up for that you can have a furnace and add your friend's place would be an additional $6 if you wanted to come out to be your face you don't always have to be you but when I'm on once a year to do your furnace can I know 60 with Jason when Veritas Guetta okay and what time what is the price so for both the 7 pack for the month really the 189 97 taxes for the year you want to pay them so we would come out with this plan if you were to come out without you signing up for HPP for your furnace alone so happy and as beneficial sick people your air conditioner and then an additional 6 for your fire so what does this plan includes or so it doesn't then you also if you need it before it goes comma the only come out we would that would be $59 a slice and then that would give you percent off the work as well play on thepaperwork they said it going on that now and then we will see you on the 9th late morning thank you ","Service"
"1058295288","how to make a smile how are you service on my yeah there are is not working there will work it's just I think the conversation doesn't get paid so it runs out of the furnace and then runs all over 4 figures sex but yeah put in a service call so 47 Broadway Avenue what's what is your availability then I'll see you some time off work I have someone available to us we'll see Pitbull like an emergency and then I will have someone give you a call you're always available at home you said or I mean it's it's like tomorrow or something like that I like you know that's okay too bye does it have to be and private eye Friday I don't have any Friday Thursday unless I can I get someone give you a call like on Thursday for whenever we can get someone else sometime I'll have my of doing that date with at work my cellphone that'd be great alright we'll see you ","Service"
"703276105","okay bye bye ","Sales"
