"Unique Id","Call Id","Words"
1200,"745885534.0","Services your call is important to us on the line and thank you sound cuz I don't have pricing they're closed okay "
1201,"745885534.0","Services your call is important to us the wine and stay with you cuz I don't have pricing are closed uncle "
1202,"745885534.0","hey I'm looking for "
1203,"745885534.0","hey I'm looking for "
1204,"745885534.0","Services your call is important to us the line and stay with you the ring uncle bye bye "
1205,"745885534.0","hey I'm looking for "
1206,"746141113.0","another test call me sure everything graham cracker "
1207,"746141113.0","another test call me sure everything graham cracker "
1208,"746141113.0","another test call me sure everything graham cracker "
1209,"746141113.0","another test Cornish everything graham cracker "
1210,"746141113.0","another test call me sure everything graham cracker "
1211,"746141113.0","another test Cornish everything ground "
1212,"746642373.0","okay I can "
1213,"746642373.0","give us a call back "
1214,"746642373.0","a little while longer "
1215,"746642373.0","okay honey "
1216,"746642373.0","a little while longer "
1217,"746642373.0","okay I confirm "
1218,"747457303.0","no "
1219,"747457303.0","IMAX are able to to see what the problem is going "
1220,"747457303.0","American school to see what the problem is going "
1221,"747457303.0","I'm not sure if it's also a problem "
1222,"747457303.0","oh I see what the problem is "
1223,"747457303.0","IMAX are able to to see what the problem is going "
1224,"1028604229.0","every 3 seconds warning thing in the morning or between Perfect Circle call Beverly I don't have a happy New Year "
1225,"1028604229.0","call Beverly "
1226,"1028604229.0","call that early I can ask him to give "
1227,"1028604229.0","Apple to be next Wednesday January 2nd morning first thing in the morning or between perfect okay call Beverly no problem have a happy New Year thank you bye "
1228,"1028604229.0","next Wednesday morning first thing in the morning or between perfect okay call Beverly no problem have a happy New Year thank you bye "
1229,"1028604229.0","early "
1230,"1029064181.0","and price for the lights are in there as well Farnham Farr en 8 a m 519-777-7212 "
1231,"1029064181.0","Farnham Farr en 8 a m 19777 "
1232,"1029064181.0","Farnham Farr a.m. 19777 seven two 1 "
1233,"1029064181.0","girl Farnham Farr en 8 a m 19777 "
1234,"1029064181.0","Farnham Farr a.m. 519-770-7721 thank you very much "
1235,"1029064181.0","put into the hot tub and price for the lights that are in there any other parts of it turning off as well panel that they stay on like when the power to go my last name is Farnham Farr a.m. 19777 "
1236,"1029299345.0","okay 4:30 to hear they're out of the schedule here can you a call back with the program oh yeah anyways companies in heart fucking emergency and everything "
1237,"1029299345.0","okay 43020 are you out of the schedule here can you a call back with the program heartache "
1238,"1029299345.0","Idaho "
1239,"1029299345.0","for Christmas "
1240,"1029299345.0","IHOP "
1241,"1029299345.0","for Christmas "
1242,"1029566823.0","PlayStation Home where's it coming purple concerning a form you can come out today or not but can I get there form you for Farrell's I got the cupboard and can I ask how you heard about it alright so quickly go over how we work I was there are there is a $59 fee and Monday that way to take 6 cash check Visa Mastercard perfect okay bye bye "
1243,"1029566823.0","alright so how we work with price had with our repair are there is a $59 this past Monday that way it'll take 6 cash check Visa Mastercard perfect "
1244,"1029566823.0","play Kentucky 412 coming Alpine purple concerning some trouble form you can come by today or not I can make it form you for Carol's address to the property can I ask how you heard about it okay alright so quickly go over how we work with our repair are there is a $59 fee and that way to take 6 cash check Visa Mastercard perfect okay bye bye "
